model_id	memory_size	epoch	trial_params	accuracy	f1_score	sensitivity	specificity	precision	roc_auc	pr_auc
AvgPoolFastKAN_2417ca3e-8ac4-41a5-ae9a-b34ca8b943c1	595.263511657715	19	[[""""reduced_seq_len"""", 10], [""""layer_size_percentage"""", 0.18], [""""num_layers"""", 3], [""""grid_diff"""", 2.0], [""""num_grids"""", 7]]	0.756355224207029	0.755060244062291	0.756355224207029	0.989692817191458	0.774695376034403	0.943492097439679	0.720420415019124
AvgPoolFastKAN_2b7e010a-ea9e-472a-a9b8-9096d2e92227	814.656776428223	17	[[""""reduced_seq_len"""", 10], [""""layer_size_percentage"""", 0.24], [""""num_layers"""", 3], [""""grid_diff"""", 1.5], [""""num_grids"""", 4]]	0.750815617691158	0.750502580834617	0.750815617691158	0.991326389785701	0.785615425566909	0.949992364583629	0.709921145594442
AvgPoolFastKAN_9db24795-384b-4369-9d00-2033be6bf82d	1293.05433654785	14	[[""""reduced_seq_len"""", 20], [""""layer_size_percentage"""", 0.1], [""""num_layers"""", 3], [""""grid_diff"""", 1.5], [""""num_grids"""", 4]]	0.75021236376031	0.747439940058745	0.75021236376031	0.990859742610646	0.788652383589355	0.941921331254671	0.691756153423837
AvgPoolFastKAN_8d89ae32-95a0-47fe-bf13-c5d91b185520	1827.84419250488	13	[[""""reduced_seq_len"""", 20], [""""layer_size_percentage"""", 0.13999999999999999], [""""num_layers"""", 3], [""""grid_diff"""", 1.5], [""""num_grids"""", 8]]	0.737062623361022	0.734665554357651	0.737062623361022	0.984655097638858	0.770395037055314	0.941609561113325	0.667609461211622
AvgPoolFastKAN_a0491d07-8b67-4d86-8350-b4c5c8e36956	710.738361358643	13	[[""""reduced_seq_len"""", 10], [""""layer_size_percentage"""", 0.24], [""""num_layers"""", 2], [""""grid_diff"""", 2.0], [""""num_grids"""", 6]]	0.732921605855622	0.729629439835271	0.732921605855622	0.991766510105536	0.779404078473272	0.947319369111514	0.71294407270802
AvgPoolFastKAN_0917ff64-b20f-489b-9024-4321ef287569	645.779373168945	15	[[""""reduced_seq_len"""", 10], [""""layer_size_percentage"""", 0.22], [""""num_layers"""", 2], [""""grid_diff"""", 2.0], [""""num_grids"""", 6]]	0.732758903334022	0.736192671738026	0.732758903334022	0.990955462590115	0.785703064765116	0.949062347360849	0.706066279457564
AvgPoolFastKAN_95bc6730-aff5-4c77-98fd-e989413d9344	2380.96394348145	13	[[""""reduced_seq_len"""", 20], [""""layer_size_percentage"""", 0.18], [""""num_layers"""", 3], [""""grid_diff"""", 1.5], [""""num_grids"""", 7]]	0.724414998667164	0.719593664446854	0.724414998667164	0.991063793301259	0.78142069725176	0.929991927301603	0.697203874224701
AvgPoolFastKAN_fd6b71df-1b58-49b2-8aa1-bb579cf542e2	520.867469787598	15	[[""""reduced_seq_len"""", 10], [""""layer_size_percentage"""", 0.18], [""""num_layers"""", 3], [""""grid_diff"""", 2.0], [""""num_grids"""", 6]]	0.724172406672949	0.727878786421788	0.724172406672949	0.990340424282223	0.772724967666128	0.938907675362387	0.683958879876175
AvgPoolFastKAN_c542df6e-240c-47f9-80a7-f2330e9ac0ac	1728.62344360352	7	[[""""reduced_seq_len"""", 30], [""""layer_size_percentage"""", 0.06], [""""num_layers"""", 1], [""""grid_diff"""", 1.5], [""""num_grids"""", 8]]	0.723817714166928	0.722401256401632	0.723817714166927	0.991263844888219	0.76564180689471	0.950931868986401	0.685420945639661
